t,ax,ay,az,gx,gy,gz
3.76,0.0166,0.012334,0.054229,0.005509,-0.023773,-0.007848
3.77,0.00691,-0.009749,0.023881,0.007894,0.006085,-0.002143
3.78,-0.092317,-0.022774,0.020818,-0.010904,0.006313,0.009084
3.79,0.006343,-0.153189,-0.063904,0.018862,-0.005465,-0.019841
3.8,0.061762,0.000668,0.055247,0.00277,0.004586,0.00363
3.81,0.034874,0.113872,0.04855,-0.015803,0.004467,0.011415
3.82,0.060135,-0.02133,0.058247,0.009277,0.025725,-0.0075
3.83,-0.02537,-0.015306,-0.024511,-0.0089,-0.027627,-0.004347
3.84,0.018468,-0.024661,0.096769,0.000134,0.01291,0.002614
3.85,0.04132,0.013962,0.068439,0.000559,0.004961,0.003663
3.86,-0.014414,0.020249,0.111719,-0.002704,0.004195,0.012578
3.87,0.057013,0.000586,-0.119169,0.005167,-0.022195,0.014699
3.88,0.008474,0.049984,-0.045106,-0.015525,0.002608,-0.000336
3.89,-0.024577,0.004233,0.138372,0.008345,0.010495,0.008439
3.9,0.073973,-0.009504,-0.102738,-0.001886,0.008117,-0.009698
3.91,-0.008818,-0.034588,0.075101,0.007495,0.006515,0.006216
3.92,-0.001862,0.009878,-0.059259,-0.021864,0.001501,0.00324
3.93,0.060463,0.078567,0.0785,-0.00998,-0.003523,0.004803
3.94,0.126595,0.074005,0.05597,-0.003878,-0.008832,0.007889
3.95,-0.055033,-0.011922,-0.005739,0.015929,-0.003547,-0.024392
3.96,0.025222,-0.034951,0.002132,-0.000867,-0.002737,0.007903
3.97,-0.076643,-0.025851,0.034202,-0.006141,-0.016088,0.006686
3.98,0.056155,-0.00225,-0.098042,0.00706,-0.016599,0.003088
3.99,-0.044373,-0.057992,-0.022096,-0.001833,-0.006442,0.005887
4.0,-0.022303,0.04901,0.014059,-0.006976,-0.008659,-0.016475
4.01,0.014537,-0.017729,-0.11861,-0.005357,-0.00901,0.015757
4.02,-0.085139,-0.072068,0.055498,0.013568,-0.00745,-0.006321
4.03,0.030812,-0.116355,-0.09306,-0.002807,0.015499,-0.004357
4.04,0.005047,0.056689,0.105344,-0.005768,-0.000168,0.018221
4.05,-0.07611,0.051379,-0.050916,0.001025,-0.002426,-0.00958
4.06,-0.049155,0.013821,0.049777,-0.001297,0.000701,0.005712
4.07,-0.048581,0.036985,0.040967,0.026036,-0.003761,-0.004581
4.08,0.038448,0.040955,-0.026754,-0.004032,0.005411,-0.008276
4.09,-0.020527,0.00448,0.049797,-0.006046,-0.018424,-0.019166
4.1,-0.062971,-0.065658,-0.007731,-0.011889,-0.007028,-0.007741
4.11,-0.022025,0.066125,0.033097,0.000161,-0.00461,-0.004332
4.12,0.016387,0.029208,-0.045381,0.000365,-0.020316,0.002117
4.13,0.038107,-0.014003,0.090826,-0.008812,0.002174,-0.000358
4.14,-0.005015,-0.005716,0.005355,0.00848,0.013777,-2.3e-05
4.15,0.040766,-0.035088,0.038298,-0.00762,0.010907,0.022106
4.16,-0.006104,-0.109627,-0.027404,0.012319,0.005531,0.002489
4.17,0.050433,0.024223,0.060886,0.009194,0.015217,0.003588
4.18,0.045263,-0.015356,-0.030073,0.017068,0.002162,0.008049
4.19,0.006187,-0.029326,0.000549,0.01436,0.005552,-0.017115
4.2,-0.010762,0.089115,-0.01069,-0.018005,0.01893,0.006824
4.21,-0.003501,-0.018571,0.054118,-0.00542,0.011483,0.005422
4.22,0.012234,0.007276,-0.008748,0.010456,-0.008653,-0.016219
4.23,0.030722,0.031562,0.024012,0.004077,-0.003205,0.007875
4.24,-0.002278,-0.024356,-0.015595,0.020206,-0.01735,0.004998
4.25,-0.083956,-0.005412,-0.021681,-0.02085,0.00389,-0.0038
4.26,-0.10496,0.041978,0.07175,0.014901,0.00359,0.000461
4.27,0.066408,0.084119,0.056678,-0.009415,0.002013,0.004395
4.28,-0.090481,0.023468,0.11365,0.006399,0.014734,0.001829
4.29,-0.003661,0.019064,-0.040791,-0.009638,0.012663,0.013723
4.3,-0.049555,0.0484,-0.004348,0.003398,0.004602,0.009944
4.31,0.004136,0.070508,0.015471,0.006242,-0.008333,0.021587
4.32,0.023491,0.03565,-0.080409,-0.008227,0.012379,0.002869
4.33,-0.095689,0.051914,-0.027189,0.014113,-0.000878,0.002047
4.34,0.058948,-0.044875,-0.049642,-0.001965,0.008272,-0.013309
4.35,-0.083402,0.041186,-0.030149,-0.003922,-0.018568,-0.00679
4.36,-0.000378,0.046519,-0.038562,0.016574,-0.006846,-0.006831
4.37,0.076868,0.010573,-0.027601,-0.001551,0.013531,0.014662
4.38,-0.04084,-0.002122,0.004508,-0.009862,-0.000557,5.3e-05
4.39,0.05701,0.060371,-0.01646,-0.00214,0.006643,-0.005852
4.4,0.029432,-0.004395,-0.04847,-0.009568,0.014471,-0.001564
4.41,0.082018,-0.025682,0.01456,0.023927,-0.010574,-0.018978
4.42,0.06433,-0.04134,-0.001035,-0.005859,0.002682,-0.009505
4.43,-0.008997,0.022491,-0.050415,-0.007001,-0.003474,-0.014288
4.44,-0.021128,0.00594,-0.019977,-0.002714,-0.000199,-0.006557
4.45,0.034553,0.071799,-0.023219,0.004852,-0.002396,0.003655
4.46,0.078289,0.025433,-0.088671,0.00454,0.012329,-0.002216
4.47,0.049782,-0.034506,-0.074277,0.001412,-0.017565,-0.002398
4.48,0.064342,-0.095488,-0.063975,-0.01032,-0.000633,-0.003657
4.49,0.069957,0.047717,0.024764,0.001456,0.003932,-0.00862
4.5,0.042861,-0.055602,0.041769,0.011861,0.002109,-0.001762
4.51,0.020015,-0.143076,0.015113,-0.001134,-0.000506,0.007065
4.52,-0.003738,-0.05701,-0.00707,0.000676,0.001149,0.001619
4.53,0.051968,-0.054302,0.008785,0.012899,-0.017346,0.001796
4.54,-0.029269,-0.018536,-0.04524,-0.001696,0.018413,-0.012644
4.55,-0.058481,-0.065097,0.086371,-0.004623,-0.000256,-0.004028
4.56,-0.047221,-0.011758,0.122912,0.013921,-0.008529,0.006476
4.57,-0.041576,-0.088818,0.050976,0.011601,0.010461,-0.004699
4.58,-0.008339,0.037488,0.019575,-0.003936,-0.016191,0.001139
4.59,0.05395,-0.059879,0.031938,0.003315,0.007501,0.00872
4.6,-0.034723,-0.080848,-0.026676,0.008891,-0.00542,-0.00694
4.61,-0.091068,0.087632,0.041286,0.007699,0.009677,0.005767
4.62,-0.012216,-0.008188,-0.021378,0.026347,0.005559,-0.004638
4.63,0.023275,-0.050543,0.075225,-0.006611,0.005011,0.01066
4.64,0.019238,0.004723,0.00054,-0.000564,-0.005767,-0.004495
4.65,0.07398,-0.005427,-0.03929,-0.005163,0.011004,0.006756
4.66,0.028016,-0.012876,0.028668,-0.006436,-0.002596,0.009698
4.67,0.043714,-0.049095,-0.042776,0.001087,0.017261,-0.019156
4.68,0.013917,-0.068802,-0.031717,-0.003644,-0.004205,-0.005338
4.69,0.00036,-0.026763,-0.073123,0.007799,0.007529,0.008432
4.7,-0.077037,0.014946,0.033799,-0.010312,9.2e-05,-0.001163
4.71,0.092108,0.096225,-0.083218,0.024939,-0.009152,0.009807
4.72,0.048525,-0.049785,0.024663,-0.001075,0.005543,0.002307
4.73,0.059817,0.00377,-0.008394,0.010961,0.005804,0.007318
4.74,-0.033229,-0.052263,-0.028386,-0.006208,0.007862,0.00976
4.75,-0.007757,0.071546,0.068423,0.002434,-0.008219,0.015754
4.76,-0.003051,0.006308,-0.01698,-0.008898,-0.014686,0.006329
4.77,-0.03917,0.152977,-0.054304,-0.012574,0.005101,0.015293
4.78,0.003229,0.028612,-0.092177,-0.006775,-0.010736,-0.01895
4.79,0.005849,-0.112141,-0.06611,-0.005372,-0.008313,0.003964
4.8,0.015279,0.04469,0.037619,0.011408,-1.9e-05,0.003035
4.81,0.025576,0.007083,-0.01986,-0.003324,-0.008176,0.004216
4.82,-0.004701,-0.033159,-0.033112,-0.012104,0.009788,0.000786
4.83,-0.04314,0.040427,-0.028022,-0.014065,0.010212,-0.005371
4.84,-0.020445,0.002059,0.057129,0.0002,-0.011991,0.005439
4.85,-0.024249,0.094396,-5.6e-05,-0.02235,0.003574,0.019446
4.86,0.078796,0.091548,-0.050988,0.009122,-0.00722,0.002243
4.87,-0.063648,-0.032223,-0.033812,0.008986,0.008007,0.002768
4.88,-0.067521,-0.015582,-0.037306,0.008697,0.011782,0.010564
4.89,-0.037761,-0.136977,-0.088348,0.014216,-0.004013,-0.007507
4.9,0.082133,0.063258,0.001222,-0.002934,-0.001321,0.002272
4.91,0.080002,0.021123,0.036301,0.011693,-0.011697,0.007549
4.92,-0.014728,-0.125805,-0.106408,-0.010181,0.005312,0.001138
4.93,0.009218,0.097547,-0.063454,-0.000274,0.003044,-0.007363
4.94,0.001416,-0.079997,0.070495,-0.006816,0.020314,-0.000325
4.95,0.051403,-0.002665,-0.001537,-0.00584,0.001191,0.00318
4.96,-0.039213,-0.006252,-0.030505,0.022997,-0.000897,0.015452
4.97,-0.009781,0.012964,-0.066068,-0.004471,0.002105,0.01586
4.98,0.011099,0.069186,0.032036,0.016274,-0.00059,0.023902
4.99,-0.02427,-0.038323,-0.060503,0.02331,0.008194,-0.003341
5.0,0.062451,0.034385,0.098306,-0.015478,-0.002654,-0.004625
5.01,-0.098684,0.053016,-0.01352,0.007396,0.023598,-0.003532
5.02,-0.021058,0.005933,0.049362,-0.005667,-0.00631,0.010572
5.03,0.018932,-0.102236,-0.06127,0.015012,0.004019,-0.007622
5.04,-0.00852,0.000662,0.036787,-0.013583,-0.008409,0.00273
5.05,-0.004992,0.028593,-0.061475,0.003571,0.010916,0.004868
5.06,0.006956,-0.004794,-0.041743,-0.00072,0.012597,-0.00119
5.07,-0.04449,-0.024612,0.010043,-0.003735,0.004853,0.005228
5.08,0.044449,0.071178,0.049793,-0.009342,-0.009035,-0.000758
5.09,-0.022559,-0.056916,-0.022085,-0.004745,-0.006718,-0.003158
5.1,0.058923,0.009962,0.12359,0.001705,-0.002901,4.1e-05
5.11,0.012825,0.021763,0.103836,-0.008453,0.00859,0.002078
5.12,-0.078555,0.038535,0.063381,-0.008572,-8.9e-05,-0.017254
5.13,-0.06294,0.052401,-0.023321,-0.011088,0.002295,-0.005224
5.14,-0.023541,0.036966,-0.058087,-0.009054,0.001541,0.009694
5.15,0.061908,-0.033253,0.046869,-0.007841,0.018262,-0.011338
5.16,0.066424,-0.032824,0.100662,0.005913,-0.01016,-0.005222
5.17,0.039059,0.052632,-0.003536,0.000447,0.007584,0.001318
5.18,-0.064675,-0.040649,0.011756,0.012155,0.01616,0.007795
5.19,0.014365,0.037441,-0.033338,-0.001532,-0.008241,-0.012487
5.2,0.016677,0.009276,0.034383,0.005461,0.002426,0.005566
5.21,-0.002134,0.020645,-0.036307,0.003697,0.006684,-0.006697
5.22,0.002592,-0.03118,-0.026325,-0.011249,0.012658,0.010657
5.23,0.026872,0.09861,-0.009462,0.030318,-0.002275,0.002552
5.24,-0.019889,0.018616,0.041781,-0.001139,0.017767,0.002391
5.25,0.013524,-0.04545,0.020925,-0.00134,-0.006082,-0.007765
5.26,0.133588,-0.013174,-0.072849,-0.006982,-0.000516,0.005467
5.27,0.02774,0.033831,-0.032243,0.003404,-0.008761,-0.006196
5.28,-0.045885,-0.059419,0.05321,0.006886,0.009767,0.000393
5.29,0.03884,-0.088064,0.043154,0.001771,0.006271,0.0038
5.3,-0.049353,-0.074902,-0.035603,0.005649,0.006901,-0.013679
5.31,-0.049055,-0.036162,-0.017865,-0.013621,-0.014221,-0.008218
5.32,0.004313,-0.05903,-0.00579,0.010586,-0.013018,-0.002064
5.33,0.051238,-0.020913,-0.028683,0.011635,-0.003062,0.011045
5.34,0.021448,-0.017142,0.023985,0.003204,0.010209,-0.005483
5.35,0.00206,-0.003076,0.035207,-0.010252,0.01017,0.004663
5.36,-0.065846,0.060413,0.111705,0.010018,0.01427,0.000854
5.37,-0.083075,-0.092206,0.012754,-0.00592,-0.009146,-0.000627
5.38,0.030779,-0.072638,-0.022444,0.015099,-0.010753,0.008698
5.39,-0.024237,0.02729,0.054866,0.007413,0.009092,-0.011516
5.4,0.055683,-0.042635,0.012977,0.002582,0.004851,0.00337
5.41,-0.04219,-0.067493,0.043617,0.001858,0.011494,-0.000447
5.42,-0.070258,0.048306,-0.018519,0.00342,-0.006475,0.016443
5.43,-0.043828,-0.016871,0.005372,-0.010922,0.003305,0.016119
5.44,-0.024523,0.019757,-0.137472,-0.000389,-0.00313,-0.008185
5.45,0.054073,-0.016312,-0.008874,-0.003772,-0.019168,-0.01132
5.46,0.048055,-0.105498,-0.038316,-0.003997,0.017436,0.007686
5.47,-0.027859,0.065226,-0.037026,0.010091,-0.013589,0.010733
5.48,-0.020307,-0.051425,-0.010857,0.002773,-0.004947,0.00554
5.49,-0.02915,0.031019,0.022111,-0.000609,-0.004414,0.001515
5.5,0.027513,0.10309,0.046971,0.00976,0.030885,0.00516
5.51,0.024232,0.035201,-0.050448,-0.004439,-0.005062,0.006476
5.52,-0.008709,0.006911,0.054373,0.008632,-0.001617,-0.0067
5.53,0.056764,0.038695,-0.080313,-0.003132,0.001655,0.007788
5.54,0.045505,0.014195,0.029262,0.000641,-0.006739,-0.002613
5.55,0.00095,-0.001734,-0.094279,-0.003975,0.000562,-0.002814
5.56,-0.012341,0.0244,-0.053948,-0.01628,-0.003482,0.007641
5.57,0.084378,0.039106,-0.073413,-0.002324,0.002566,0.001776
5.58,0.026965,-0.045852,0.003247,0.004203,0.008257,-0.008057
5.59,-0.017258,-0.135191,-0.031073,-0.005244,-0.010196,0.001656
5.6,-0.002797,-0.112961,0.010775,-0.009283,0.004857,-0.012819
5.61,0.0015,-0.014158,0.015155,0.001247,-0.002552,-0.015363
5.62,-0.07386,-0.029194,-0.000414,-0.006082,0.006252,-0.002792
5.63,-0.048251,-0.013905,0.011293,0.003249,0.018784,-0.006689
5.64,-0.003674,0.021306,-0.001171,-0.005006,-0.015493,-0.005108
5.65,-0.053685,-0.08633,-0.039784,-0.010471,0.005838,0.006011
5.66,-0.045194,-0.013011,-0.092912,-0.004943,0.00399,0.008249
5.67,-0.035652,0.052593,-0.075785,-0.012476,0.007097,0.016711
5.68,0.024672,-0.002017,-0.109759,-0.020224,0.001294,-0.003581
5.69,-0.055292,0.003277,0.005757,0.009444,0.001366,0.012284
5.7,0.0004,-0.005767,0.053216,-0.009784,0.028144,0.003753
5.71,0.019041,0.026255,0.093857,0.007925,-0.016051,0.014035
5.72,-0.017045,0.005358,-0.063963,0.005262,-0.006514,0.001002
5.73,-0.014205,0.096251,0.099113,0.000465,0.00064,-0.003734
5.74,0.0553,-0.016446,-0.021067,0.009786,-0.005383,-0.000378
5.75,-0.079066,0.03521,0.097043,0.007212,0.014618,-0.008461
5.76,0.011816,-0.047158,-0.011388,0.007722,0.001018,-0.014126
5.77,-0.065751,-0.069058,0.024573,0.020639,0.013625,-0.01896
5.78,0.071054,0.04682,-0.077265,-0.003032,0.010955,0.005504
5.79,-0.065455,0.030537,-0.106875,-0.002228,0.01138,0.000184
5.8,-0.024947,0.044467,0.048738,0.0131,0.008743,0.010814
5.81,0.036645,0.013276,0.004475,-0.002373,-0.012124,-0.009553
5.82,-0.014101,0.012073,0.072041,-0.000418,0.010035,0.010793
5.83,-0.011572,0.029735,-0.012176,0.013221,0.006358,-0.011905
5.84,0.008076,0.082406,-0.009062,0.004477,0.005459,-0.010366
5.85,0.025535,-0.069692,-0.031281,0.010757,0.003568,-0.003045
5.86,0.022323,-0.003005,0.000629,0.006568,-0.007274,0.000403
5.87,-0.015613,-0.07928,-0.046023,0.015682,0.003847,-0.013236
5.88,-0.077018,-0.005608,0.078059,-0.001868,0.01307,0.003519
5.89,0.023563,-0.066786,0.046876,-0.003349,0.008631,-0.008142
5.9,0.008852,0.0176,-0.007702,0.004045,-0.002664,-0.006491
5.91,0.080274,0.052448,-0.038043,0.005684,-0.007427,-0.011847
5.92,0.05169,-0.085205,0.046343,-0.002527,-0.002115,0.004098
5.93,0.02906,-0.041317,0.035886,0.001134,-0.012561,-0.001699
5.94,0.069064,0.08383,0.035867,-0.011903,0.004906,0.008509
5.95,0.036285,0.039248,0.018163,-0.000724,-0.006084,-0.018979
5.96,0.016982,0.009303,0.027879,-0.013375,0.00645,0.020545
5.97,0.003923,-0.003083,0.01545,0.020323,-0.010236,0.002032
5.98,-0.039983,-0.02735,-0.00248,0.013473,0.01801,0.004481
5.99,-0.01883,0.124637,-0.021378,-0.005711,-0.017749,0.013961
